id,status,confidence,name_sim,distance_m,old_name,google_name,name_updated,old_address,new_address,coords_fixed,reason
1355,flagged,0.6,0.176,61,שניצליין,ג'מס באר שבע JEM'S BEER FACTORY,no,"האנרגיה 77, באר שבע, Israel",,no,dist=61m name=0.18 proximity-name-mismatch
1356,no_match,0.2,1.000,1463,מאפה נאמן,מאפה נאמן אשדוד,no,"שד' מנחם בגין 1, מרכז צימר אשדוד, Israel",,no,dist=1463m name=1.00 no-match
1357,no_match,0.2,0.500,3009,פלאפל סופר,פלאפל בוארון נתיבות,no,"שד' ירושלים 134, נתיבות, Israel",,no,dist=3009m name=0.50 no-match
1358,no_match,0.2,0.750,1680,פיצה איטלינו,Pizza Italiano,no,"שד' דרום אפריקה 63, אשקלון, Israel",,no,dist=1680m name=0.75 no-match
1359,no_match,0.2,0.500,1584,פיצה פאנצ',Pizza Punch,no,"דרך השלום 52, באר שבע, Israel",,no,dist=1584m name=0.50 no-match
1360,verified,0.95,1.000,75,ברכת המזון,ברכת המזון,yes,"עין החתול 3, הקניון האדום, אילת, Israel","Ein he-Khatul St 3, Eilat, 88000, Israel",yes,dist=75m name=1.00 close-proximity
1361,flagged,0.7,1.000,435,פיצה במקום,פיצה במקום ערד,no,"חן 29, ערד, Israel",,no,dist=435m name=1.00 needs-review
1362,flagged,0.4,1.000,324,טוסט ביף,טוסט ביף,no,"דרך בן גוריון 1043, דימונה, Israel",,no,dist=324m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1363,flagged,0.7,0.364,135,שניצלוס,שניצל פקטורי רוגוזין אשדוד,no,"רוגוזין 11, אשדוד, Israel",,no,dist=135m name=0.36 needs-review
1364,no_match,0.2,1.000,3730,הריף,הריף,no,"שד' משה דיין 1, אשדוד, Israel",,no,dist=3730m name=1.00 no-match
1365,no_match,0.2,0.167,2108,אצה,Mall 7 shopping Center,no,"הע""ל 30, מול 7 MALL, באר שבע, Israel",,no,dist=2108m name=0.17 no-match
1366,flagged,0.4,1.000,1710,בונה פיצה,בונה פיצה,no,"מדרחוב הנביאים 1, אשדוד, Israel",,no,dist=1710m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1367,no_match,0.2,0.333,315,המקסיקני,The Mexican,no,"רותם 17, מרכז מסחרי עומר, Israel",,no,dist=315m name=0.33 no-match
1368,flagged,0.7,1.000,291,אושי אושי באר שבע,אושי אושי באר שבע,no,"שד' יצחק רגר 2, באר שבע, Israel",,no,dist=291m name=1.00 needs-review
1370,verified,0.95,0.333,15,אקספרס החבית,HaHavit,no,"נחל ציחור 10, מצפה רמון, Israel","Nakhal Tsikhor St 10, Mitzpe Ramon, Israel",yes,dist=15m name=0.33 close-proximity
1371,no_match,0.2,0.100,518,בורגרס בר,מיסטר B10 דימונה,no,"דימונה, Israel",,no,dist=518m name=0.10 no-match
1372,verified,0.88,0.889,92,שירי'ס בורגר,Shiri's Burger,no,"קק""ל 79, באר שבע, Israel","Kakal St 79, Be'er Sheva, Israel",yes,dist=92m name=0.89 near+name
1374,flagged,0.7,0.429,131,שוקולה,Rav Kat Eilat,no,"גן בנימין 12, אילת, Israel",,no,dist=131m name=0.43 needs-review
1375,flagged,0.7,0.143,204,נפגשים בסיבוב,יאקיטורי סושי - Yakitori Sushi,no,"בן יהודה 9, שדרות, Israel",,no,dist=204m name=0.14 needs-review
1376,no_match,0.2,0.444,388,פלאפל'ס,פלאפל דימונה,no,"מ""ד המעפילים 11, דימונה, Israel",,no,dist=388m name=0.44 no-match
1377,no_match,0.2,0.333,462,פיצה פלוס,פיצה פאי - באר שבע,no,"דוד המלך 14, באר שבע, Israel",,no,dist=462m name=0.33 no-match
1378,flagged,0.4,0.875,405,המבורגיניס,Hamboorginis,no,"שד' התמרים 56, אילת, Israel",,no,dist=405m name=0.88 business=CLOSED_PERMANENTLY (non-operational)
1379,flagged,0.7,1.000,398,אצל איתן,אצל איתן,no,"שדרות, Israel",,no,dist=398m name=1.00 needs-review
1380,verified,0.88,0.625,145,חומוס אליהו,Hummus Eliyahu,no,"שד' צורן, קריית גת, Israel","פינת, שדרות צורן, קרית גת, Israel",yes,dist=145m name=0.63 near+name
1381,flagged,0.7,0.667,848,קייטרינג טאשי גאורגיה,קייטרינג בשרי כשר טאשי גרוזיני בטעם הבית,no,"אלי כהן 19, אשקלון, Israel",,no,dist=848m name=0.67 needs-review
1382,no_match,0.2,0.786,30534,בר בארי אנטריקוט בר,בוטיק אנטריקוט,no,"שד' ירושלים 2, באר שבע, Israel",,no,dist=30534m name=0.79 no-match
1383,flagged,0.4,1.000,13874,פיצה מטר,פיצה מטר אשקלון,no,"אקסודוס 6, אשקלון, Israel",,no,dist=13874m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1384,flagged,0.7,1.000,447,מנהטן טוסט נקניק,מנהטן - טוסט נקניק,no,"שד' לכיש 16, קריית גת, Israel",,no,dist=447m name=1.00 needs-review
1385,no_match,0.2,0.500,1732,סאן סושי ונודלס,San Sushi Ashdod,no,"שד' מנחם בגין, אשדוד, Israel",,no,dist=1732m name=0.50 no-match
1386,flagged,0.6,0.000,5,בית מאפה הגשר,Bridge bakery,no,"שד' יעלים 32, באר שבע, Israel",,no,dist=5m name=0.00 proximity-name-mismatch
1387,no_match,0.2,0.429,28392,"הסנדק (רמב""ם), באר שבע",Sombrero Be'er sheva,no,"שד' ירושלים 2, באר שבע, Israel",,no,dist=28392m name=0.43 no-match
1388,verified,0.95,0.800,4,טירמיסו,Tiramisu,no,"שדרות הים התיכון 1, אשדוד, Israel","HaYam HaTichon Blvd 1, Ashdod, Israel",yes,dist=4m name=0.80 close-proximity
1390,flagged,0.6,0.000,60,cofix,קופיקס סיטי אשדוד,no,"העצמאות 93, אשדוד, Israel",,no,dist=60m name=0.00 proximity-name-mismatch
1391,no_match,0.2,0.200,2076,פלאפל שווארמה הכרם,HaKerem Falafel,no,"הע""ל 30, מול 7 MALL, באר שבע, Israel",,no,dist=2076m name=0.20 no-match
1392,flagged,0.7,0.750,547,מקדונלד'ס,McDonald's,no,"בית קמה, Israel",,no,dist=547m name=0.75 needs-review
1393,no_match,0.2,0.200,18448,בי טי המבורגרים,Giron Mall,no,"שד' בן גוריון 21, קניון גירון, אשקלון, Israel",,no,dist=18448m name=0.20 no-match
1394,no_match,0.2,0.222,638,פלאפל באר שבע,סביב השעון,no,"המלך שאול 109, באר שבע, Israel",,no,dist=638m name=0.22 no-match
1395,no_match,0.2,0.500,486,הסנדביץ של השף שגב,הבאגט של שגב,no,"קריית גת, Israel",,no,dist=486m name=0.50 no-match
1396,no_match,0.2,0.143,1167,שמונה,Mizrahi Bank,no,"שד' ירושלים 12, אשדוד, Israel",,no,dist=1167m name=0.14 no-match
1397,flagged,0.7,0.714,1158,קופי נקסט,קופיקס,no,"אבן עזרא 14, קניון לב אשדוד, Israel",,no,dist=1158m name=0.71 needs-review
1398,no_match,0.2,0.000,882,סגה סושי,Manga,no,"שד' התמרים 12, קניון מול הים, אילת, Israel",,no,dist=882m name=0.00 no-match
1399,flagged,0.7,0.250,82,לונה,קניון אמות באר שבע,no,"חיל הנדסה 1, מרכז בי 7 באר שבע, Israel",,no,dist=82m name=0.25 needs-review
1400,no_match,0.2,1.000,15800,ארומה,Aroma Espresso Bar ארומה אספרסו בר,no,"שד' בן גוריון 21, קניון גירון, אשקלון, Israel",,no,dist=15800m name=1.00 no-match
1401,verified,0.88,1.000,247,פלאפל הישועה,פלאפל הישועה,yes,"שד' לכיש 6, קריית גת, Israel","Mish'ol Paz 101, Kiryat Gat, Israel",yes,dist=247m name=1.00 near+name
1402,flagged,0.7,0.214,101,ביג בראשית שווארמה,Shawarma Bereshit,no,"הבנים 3, אשדוד, Israel",,no,dist=101m name=0.21 needs-review
1403,flagged,0.4,1.000,342,Pizz stop עומר,Pizz Stop,no,"רותם 17, מרכז מסחרי עומר, Israel",,no,dist=342m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1404,flagged,0.4,1.000,113,Kings pizza,Kings Pizza,no,"חיים לנדאו 4, באר שבע, Israel",,no,dist=113m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
